"Site","DateTime","PT1","PT2","MeanDischarge"
"POKE",2019-06-02 19:15:00,313.96138731289,375.516126538988,344.738756925939
"POKE",2019-06-02 19:30:00,314.742741976594,377.016409302326,345.87957563946
"POKE",2019-06-02 19:45:00,314.742741976594,380.016974829001,347.379858402798
"POKE",2019-06-02 20:00:00,314.742741976594,377.016409302326,345.87957563946
"POKE",2019-06-02 20:15:00,316.305451304001,378.516692065664,347.411071684832
"POKE",2019-06-02 20:30:00,317.086805967705,380.016974829001,348.551890398353
"POKE",2019-06-02 20:45:00,315.524096640298,380.016974829001,347.77053573465
"POKE",2019-06-02 21:00:00,314.742741976594,383.017540355677,348.880141166136
"POKE",2019-06-02 21:15:00,314.742741976594,384.517823119015,349.630282547805
"POKE",2019-06-02 21:30:00,317.868160631409,386.018105882353,351.943133256881
"POKE",2019-06-02 21:45:00,317.868160631409,386.018105882353,351.943133256881
"POKE",2019-06-02 22:00:00,316.305451304001,381.517257592339,348.91135444817
"POKE",2019-06-02 22:15:00,316.305451304001,386.018105882353,351.161778593177
"POKE",2019-06-02 22:30:00,316.305451304001,384.517823119015,350.411637211508
"POKE",2019-06-02 22:45:00,319.430869958816,387.518388645691,353.474629302254
"POKE",2019-06-02 23:00:00,317.868160631409,386.018105882353,351.943133256881
"POKE",2019-06-02 23:15:00,319.430869958816,390.518954172367,354.974912065591
"POKE",2019-06-02 23:30:00,318.649515295112,389.018671409029,353.834093352071
"POKE",2019-06-02 23:45:00,318.649515295112,384.517823119015,351.583669207064
"POKE",2019-06-03 00:00:00,317.868160631409,386.018105882353,351.943133256881
"POKE",2019-06-03 00:15:00,317.086805967705,383.017540355677,350.052173161691
"POKE",2019-06-03 00:30:00,317.868160631409,384.517823119015,351.192991875212
"POKE",2019-06-03 00:45:00,317.086805967705,383.017540355677,350.052173161691
"POKE",2019-06-03 01:00:00,317.868160631409,383.017540355677,350.442850493543
"POKE",2019-06-03 01:15:00,317.086805967705,383.017540355677,350.052173161691
"POKE",2019-06-03 01:30:00,316.305451304001,380.016974829001,348.161213066501
"POKE",2019-06-03 01:45:00,315.524096640298,377.016409302326,346.270252971312
"POKE",2019-06-03 02:00:00,313.180032649187,374.01584377565,343.597938212418
"POKE",2019-06-03 02:15:00,313.180032649187,372.515561012312,342.847796830749
"POKE",2019-06-03 02:30:00,313.96138731289,375.516126538988,344.738756925939
"POKE",2019-06-03 02:45:00,313.96138731289,374.01584377565,343.98861554427
"POKE",2019-06-03 03:00:00,315.524096640298,377.016409302326,346.270252971312
"POKE",2019-06-03 03:15:00,315.524096640298,377.016409302326,346.270252971312
"POKE",2019-06-03 03:30:00,313.180032649187,368.014712722298,340.597372685743
"POKE",2019-06-03 03:45:00,313.96138731289,372.515561012312,343.238474162601
"POKE",2019-06-03 04:00:00,313.96138731289,369.514995485636,341.738191399263
"POKE",2019-06-03 04:15:00,313.96138731289,372.515561012312,343.238474162601
"POKE",2019-06-03 04:30:00,313.96138731289,369.514995485636,341.738191399263
"POKE",2019-06-03 04:45:00,317.868160631409,375.516126538988,346.692143585198
"POKE",2019-06-03 05:00:00,319.430869958816,377.016409302326,348.223639630571
"POKE",2019-06-03 05:15:00,318.649515295112,377.016409302326,347.832962298719
"POKE",2019-06-03 05:30:00,319.430869958816,374.01584377565,346.723356867233
"POKE",2019-06-03 05:45:00,321.774933949927,381.517257592339,351.646095771133
"POKE",2019-06-03 06:00:00,321.774933949927,377.016409302326,349.395671626126
"POKE",2019-06-03 06:15:00,320.21222462252,377.016409302326,348.614316962423
"POKE",2019-06-03 06:30:00,320.993579286223,377.016409302326,349.004994294275
