"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2019-07-20 09:30:00,138.020930213127,136.954526036881,137.487728125004
"FRCH",2019-07-20 09:45:00,134.299739705247,138.72587463083,136.512807168038
"FRCH",2019-07-20 10:00:00,136.160334959187,135.183177442932,135.671756201059
"FRCH",2019-07-20 10:15:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-20 10:30:00,136.160334959187,136.954526036881,136.557430498034
"FRCH",2019-07-20 10:45:00,139.881525467067,138.72587463083,139.303700048948
"FRCH",2019-07-20 11:00:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 11:15:00,138.020930213127,140.497223224779,139.259076718953
"FRCH",2019-07-20 11:30:00,136.160334959187,140.497223224779,138.328779091983
"FRCH",2019-07-20 11:45:00,132.439144451307,140.497223224779,136.468183838043
"FRCH",2019-07-20 12:00:00,134.299739705247,136.954526036881,135.627132871064
"FRCH",2019-07-20 12:15:00,136.160334959187,136.954526036881,136.557430498034
"FRCH",2019-07-20 12:30:00,139.881525467067,138.72587463083,139.303700048948
"FRCH",2019-07-20 12:45:00,134.299739705247,138.72587463083,136.512807168038
"FRCH",2019-07-20 13:00:00,132.439144451307,138.72587463083,135.582509541068
"FRCH",2019-07-20 13:15:00,132.439144451307,138.72587463083,135.582509541068
"FRCH",2019-07-20 13:30:00,134.299739705247,136.954526036881,135.627132871064
"FRCH",2019-07-20 13:45:00,132.439144451307,138.72587463083,135.582509541068
"FRCH",2019-07-20 14:00:00,138.020930213127,140.497223224779,139.259076718953
"FRCH",2019-07-20 14:15:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 14:30:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-20 14:45:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 15:00:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 15:15:00,141.742120721007,145.811269006626,143.776694863817
"FRCH",2019-07-20 15:30:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-20 15:45:00,139.881525467067,144.039920412677,141.960722939872
"FRCH",2019-07-20 16:00:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-20 16:15:00,143.602715974948,145.811269006626,144.706992490787
