"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2019-07-28,2.16205362120771,1.57964359520268,2.80235728950806,-4.80971139953007,-6.1679836784883,-3.58321813130739,"w      ","",""
2019-07-29,3.19404921227441,2.52596570769588,3.97583099812632,-6.53928517679656,-8.28825960628265,-5.18622769935063,"w      ","",""
2019-07-30,3.96920485207557,3.08781779108687,4.85549652565534,-10.6574264243929,-12.852559786632,-8.66590058888285,"w      ","",""
2019-07-31,2.56243256979149,1.96903566353222,3.20220240415603,-5.82475342725733,-7.15503439357765,-4.53996678851171,"w      ","",""
2019-08-01,1.16305786522542,0.494097720411632,1.72867262071449,-5.52270468473011,-8.01876540934806,-2.68529688437769,"w      ","",""
2019-08-02,1.38246351136967,0.462002459015621,2.28246933903879,-4.92664432101663,-7.85531605755383,-1.48790523782578,"w      ","",""
2019-08-03,0.648427654572527,0.145335876322858,1.31001924486805,-15.1278992214402,-23.9508596358489,-8.00928311462298,"w      ","",""
2019-08-04,0.103105077944941,0.0078532559509993,0.455391492859237,-6.0766158543581,-11.7776057519498,-0.223762066529008,"w      ","",""
2019-08-05,0.349628819278426,0.0153272908537485,0.845850375830863,-9.02330305214595,-12.9630361540228,-5.52703579132992,"w      ","",""
2019-08-06,0.514513169421193,0.142073438897201,0.907703898815099,-3.53952793098403,-4.26993526978601,-2.85705822720365,"w      ","",""
2019-08-07,0.0526692726114762,0.00234528108466527,0.215570848289571,-0.308329939757544,-1.35236111425901,-0.0187031810088221,"w      ","",""
2019-08-08,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-08-09,0.0741493101374381,0.00197473503072754,0.276818613361461,-5.95203504128188,-10.5363129815475,-1.76541866618453,"w      ","",""
2019-08-10,0.0663946098486999,0.00253488748823823,0.314813883712527,-9.80678256115253,-13.8877028190478,-5.7755545865952,"w      ","",""
2019-08-11,0.0925985457329366,0.00678577435455311,0.371370819260491,-10.7190565706826,-14.5920790482703,-7.28719554320382,"w      ","",""
2019-08-12,0.113813479687246,0.0052230808374427,0.440887205585495,-9.98502229230888,-13.7264198654955,-6.87869974556144,"w      ","",""
2019-08-13,0.545586346386182,0.13568075253199,1.25294052078926,-2.95072143468428,-4.94201939579295,-1.82458037027989,"w      ","",""
2019-08-14,0.0699790828034559,0.00370947070413688,0.31826316915851,-1.07831856568718,-3.62386087504628,-0.103814881268401,"w      ","",""
2019-08-15,0.534155619070699,0.157444667184384,1.00557722163324,-12.1960611424195,-21.1346517032354,-5.58262589580366,"w      ","",""
2019-08-16,0.0117734049064182,0.0006920509824999,0.0605751496053166,-9.32665854562704,-10.9681852734995,-7.63901759816305,"w      ","",""
2019-08-17,1.95757793051403,1.41134305689079,2.4251123744436,-37.6494769592096,-43.6346282870759,-31.0660805602154,"w      ","",""
2019-08-18,1.93285847747082,1.30548918497881,2.49844501668272,-43.718044092256,-50.420427878044,-37.0130172726331,"w      ","",""
2019-08-19,1.77190591209474,1.24008672201098,2.25721530896845,-38.7571925790564,-44.0389359257399,-33.4263623393677,"w      ","",""
2019-08-20,1.06275436291168,0.524879935825579,1.61438515998875,-33.4258916292511,-39.5089356709474,-27.5670416885994,"w      ","",""
2019-08-21,0.549658258670207,0.12717393733501,1.07114036890465,-25.7161470301434,-34.6848341109857,-17.8120272058705,"w      ","",""
2019-08-22,0.566763045180928,0.126883579904327,1.05701416326921,-29.4730208647598,-36.6417401712691,-22.5142976625923,"w      ","",""
2019-08-23,0.730046943126581,0.295522161855765,1.21161069033877,-26.5622377996101,-34.2678477407405,-17.8640286862191,"w      ","",""
2019-08-24,0.256789943777365,0.0251319752618855,0.641688094813896,-24.0295697325872,-30.9263702343617,-17.1657824980572,"w      ","",""
2019-08-25,0.7975661389711,0.312395957623286,1.23576538509733,-26.3209144908548,-32.062522041818,-20.2018318577698,"w      ","",""
